timestamp,province,district,consumption_kwh
2020-01-01 17:07:00,Muramvya,Muramvya_District_3,644.6612108248761
2020-01-01 09:59:00,Bujumbura,Bujumbura_District_5,589.0185955560538
2020-01-01 04:01:00,Kayanza,Kayanza_District_5,403.7228707330576
2020-01-01 01:22:00,Rutana,Rutana_District_3,340.4993919453012
2020-01-01 16:39:00,Mwaro,Mwaro_District_3,528.4149793946542
2020-01-01 20:18:00,Rumonge,Rumonge_District_5,374.0079469350709
2020-01-01 15:55:00,Kayanza,Kayanza_District_5,503.58414421748313
2020-01-01 04:08:00,Kirundo,Kirundo_District_2,441.4712373814102
2020-01-01 09:25:00,Gitega,Gitega_District_3,532.967253515324
2020-01-01 09:45:00,Rutana,Rutana_District_5,536.3141575656147
2020-01-01 14:36:00,Rutana,Rutana_District_3,462.6822429862384
2020-01-01 18:06:00,Muyinga,Muyinga_District_2,459.7908834357461
2020-01-01 07:09:00,Muyinga,Muyinga_District_2,545.1898613470888
2020-01-01 20:43:00,Bujumbura,Bujumbura_District_2,304.65907753323415
2020-01-01 05:56:00,Bujumbura_Rural,Bujumbura_Rural_District_4,415.0691104269828
2020-01-01 06:31:00,Makamba,Makamba_District_2,281.4415747153535
2020-01-01 22:06:00,Ngozi,Ngozi_District_3,452.0339305759573
2020-01-01 15:10:00,Mwaro,Mwaro_District_3,493.17733726728807
2020-01-01 20:53:00,Muramvya,Muramvya_District_3,641.3376236406388
2020-01-01 12:59:00,Ruyigi,Ruyigi_District_2,314.93009612455256
2020-01-01 00:01:00,Gitega,Gitega_District_2,799.4784700917348
2020-01-01 12:47:00,Mwaro,Mwaro_District_2,425.69608424512296
2020-01-01 01:02:00,Karusi,Karusi_District_1,706.9742618972718
2020-01-01 11:49:00,Kirundo,Kirundo_District_2,883.463984533222
2020-01-01 05:28:00,Makamba,Makamba_District_1,370.8589636252669
2020-01-01 12:34:00,Kayanza,Kayanza_District_3,574.7694638941123
2020-01-01 06:57:00,Bubanza,Bubanza_District_3,589.5201494226748
2020-01-01 17:31:00,Bururi,Bururi_District_3,378.0481022864079
2020-01-01 12:26:00,Bururi,Bururi_District_3,482.4409259674633
2020-01-01 17:52:00,Kayanza,Kayanza_District_1,514.9248616918219
2020-01-01 01:24:00,Kayanza,Kayanza_District_5,587.8114019445993
2020-01-01 07:46:00,Kirundo,Kirundo_District_2,526.4442199056672
2020-01-01 02:06:00,Kayanza,Kayanza_District_5,439.37415549533813
2020-01-01 16:40:00,Ngozi,Ngozi_District_3,380.3400392221646
2020-01-01 04:43:00,Bururi,Bururi_District_1,567.8247316139026
2020-01-01 09:15:00,Muyinga,Muyinga_District_1,471.24786080639876
2020-01-01 10:34:00,Bururi,Bururi_District_4,341.8425381638794
2020-01-01 09:05:00,Kirundo,Kirundo_District_1,356.16804938602337
2020-01-01 18:25:00,Cibitoke,Cibitoke_District_3,498.8131671854667
2020-01-01 12:18:00,Muramvya,Muramvya_District_3,514.4109443134975
2020-01-01 06:24:00,Gitega,Gitega_District_3,661.7711773940391
2020-01-01 00:33:00,Mwaro,Mwaro_District_4,477.9251512142939
2020-01-01 06:16:00,Bururi,Bururi_District_4,300.0521095440694
2020-01-01 06:54:00,Cankuzo,Cankuzo_District_5,546.472298189304
2020-01-01 19:15:00,Kayanza,Kayanza_District_4,311.10584409077484
2020-01-01 05:14:00,Cibitoke,Cibitoke_District_4,377.8282301854938
2020-01-01 18:32:00,Rumonge,Rumonge_District_5,694.8560652910696
2020-01-01 15:28:00,Bujumbura,Bujumbura_District_3,448.0782585619301
2020-01-01 21:43:00,Bujumbura_Rural,Bujumbura_Rural_District_2,502.63766568914906
2020-01-01 11:23:00,Kayanza,Kayanza_District_3,671.2465938681416
2020-01-01 22:32:00,Cankuzo,Cankuzo_District_1,548.9774816270534
2020-01-01 01:17:00,Cibitoke,Cibitoke_District_4,416.9138980012058
2020-01-01 06:15:00,Kayanza,Kayanza_District_4,296.0959191874246
2020-01-01 22:13:00,Rumonge,Rumonge_District_5,352.1798100202813
2020-01-01 04:55:00,Bururi,Bururi_District_3,560.678964798727
2020-01-01 17:10:00,Cankuzo,Cankuzo_District_1,444.67980760339066
2020-01-01 07:30:00,Bururi,Bururi_District_2,663.6995458591389
2020-01-01 00:05:00,Cankuzo,Cankuzo_District_3,384.2759778379908
2020-01-01 23:37:00,Bujumbura_Rural,Bujumbura_Rural_District_1,492.8880913225272
2020-01-01 03:09:00,Makamba,Makamba_District_3,411.14699334633167
2020-01-01 22:49:00,Kayanza,Kayanza_District_1,590.8722107630743
2020-01-01 14:20:00,Ngozi,Ngozi_District_1,478.15025808338714
2020-01-01 19:09:00,Kirundo,Kirundo_District_2,266.36668860213524
2020-01-01 17:53:00,Kayanza,Kayanza_District_5,376.71704300741794
2020-01-01 21:50:00,Bujumbura,Bujumbura_District_5,656.2303551888223
2020-01-01 17:45:00,Bujumbura,Bujumbura_District_3,623.5920116604692
2020-01-01 07:48:00,Cankuzo,Cankuzo_District_2,349.36112880596863
2020-01-01 17:39:00,Cibitoke,Cibitoke_District_4,452.45026746863243
2020-01-01 09:16:00,Rumonge,Rumonge_District_4,456.8472227865343
2020-01-01 07:20:00,Kayanza,Kayanza_District_3,530.2766395274297
2020-01-01 15:29:00,Gitega,Gitega_District_3,592.987914209475
2020-01-01 04:45:00,Muramvya,Muramvya_District_1,628.4907675929246
2020-01-01 06:06:00,Makamba,Makamba_District_3,510.6398086760336
2020-01-01 14:56:00,Cibitoke,Cibitoke_District_3,349.0744950221994
2020-01-01 00:40:00,Bubanza,Bubanza_District_1,466.78295080184256
2020-01-01 08:24:00,Bururi,Bururi_District_4,619.0697632890304
2020-01-01 00:40:00,Bururi,Bururi_District_3,426.2781260273111
2020-01-01 19:01:00,Rumonge,Rumonge_District_1,484.3885876298882
2020-01-01 15:23:00,Kirundo,Kirundo_District_3,582.4887338522365
2020-01-01 04:50:00,Mwaro,Mwaro_District_3,374.31817524122255
2020-01-01 03:25:00,Rutana,Rutana_District_4,554.8214853636649
2020-01-01 18:25:00,Ngozi,Ngozi_District_1,622.0275838854864
2020-01-01 18:30:00,Ruyigi,Ruyigi_District_2,238.57300263525826
2020-01-01 22:20:00,Bururi,Bururi_District_4,534.0729271246
2020-01-01 12:15:00,Rutana,Rutana_District_3,461.3887424600017
2020-01-01 03:53:00,Ngozi,Ngozi_District_2,364.09804086707356
2020-01-01 00:31:00,Makamba,Makamba_District_1,404.77455003356147
2020-01-01 23:51:00,Ngozi,Ngozi_District_4,488.21291621960194
2020-01-01 23:04:00,Ruyigi,Ruyigi_District_3,313.51775200474674
2020-01-01 02:34:00,Bubanza,Bubanza_District_2,620.82173352662
2020-01-01 15:29:00,Kayanza,Kayanza_District_1,510.2247348374114
2020-01-01 12:16:00,Mwaro,Mwaro_District_4,379.6590511328285
2020-01-01 10:22:00,Kirundo,Kirundo_District_1,546.3952364460602
2020-01-01 10:40:00,Rutana,Rutana_District_2,402.2049261089197
2020-01-01 19:59:00,Muramvya,Muramvya_District_2,695.7554008918925
2020-01-01 17:48:00,Kirundo,Kirundo_District_1,329.25468288350584
2020-01-01 19:27:00,Karusi,Karusi_District_3,358.53404877812056
2020-01-01 02:09:00,Bubanza,Bubanza_District_1,369.7765649876155
2020-01-01 02:42:00,Bujumbura,Bujumbura_District_4,391.6539294185087
2020-01-01 02:53:00,Kirundo,Kirundo_District_3,501.7784249429418
2020-01-01 06:58:00,Bujumbura_Rural,Bujumbura_Rural_District_1,678.096163376295
2020-01-01 05:10:00,Mwaro,Mwaro_District_4,418.7214051805701
2020-01-01 13:11:00,Bujumbura,Bujumbura_District_1,471.9808997039639
2020-01-01 03:20:00,Gitega,Gitega_District_1,372.9613363287919
2020-01-01 21:46:00,Cankuzo,Cankuzo_District_4,537.2098766193477
2020-01-01 12:52:00,Bubanza,Bubanza_District_1,718.5156744577853
2020-01-01 15:00:00,Muramvya,Muramvya_District_2,363.95027753243966
2020-01-01 18:28:00,Muramvya,Muramvya_District_3,402.63613236462106
2020-01-01 08:43:00,Bubanza,Bubanza_District_3,741.3978284666864
2020-01-01 09:51:00,Bujumbura,Bujumbura_District_3,445.6998235422708
2020-01-01 14:37:00,Ngozi,Ngozi_District_3,576.4568969296555
2020-01-01 13:28:00,Cibitoke,Cibitoke_District_2,630.9489703084031
2020-01-01 17:08:00,Cibitoke,Cibitoke_District_3,429.59440821009025
2020-01-01 09:59:00,Kayanza,Kayanza_District_5,552.4685519407392
2020-01-01 22:49:00,Ngozi,Ngozi_District_1,646.8582838186255
